feature,multiclass_fisher_score
_HarmonicChangeDetectionFunction_Std,1.3283851329234433
_Zero-crossingrate_Mean,0.985252211668721
_HarmonicChangeDetectionFunction_PeriodAmp,0.929150173420396
_Pulseclarity_Mean,0.6932096985488874
_Eventdensity_Mean,0.6415414500291831
_EntropyofSpectrum_Mean,0.4214033988109659
_Brightness_Mean,0.419162614769239
_Fluctuation_Mean,0.3949170441186846
_HarmonicChangeDetectionFunction_Mean,0.37068965280372135
_MFCC_Mean_1,0.36992481422438145
_AttackTime_Mean,0.28687918971407755
_Spectralcentroid_Mean,0.20982349340488762
_MFCC_Mean_2,0.18957927501329136
_Spectralskewness_Mean,0.17812877823070855
_Roughness_Mean,0.1628387878414759
_Spectralkurtosis_Mean,0.14123771453775988
_Chromagram_Mean_7,0.1261039554259571
_Rolloff_Mean,0.12177093599304742
_Roughness_Slope,0.11620115126650725
_RMSenergy_Mean,0.10348918561827716
_MFCC_Mean_4,0.10023674830856132
_MFCC_Mean_3,0.09266201398528219
_MFCC_Mean_7,0.09168995892420016
_HarmonicChangeDetectionFunction_PeriodFreq,0.07784289104521423
_Chromagram_Mean_11,0.0761888882457107
_Chromagram_Mean_6,0.07327874489085301
_Chromagram_Mean_1,0.07230043292714049
_Chromagram_Mean_2,0.060990240967098645
_Spectralspread_Mean,0.05631029756783797
_AttackTime_Slope,0.05263557271133535
_Chromagram_Mean_12,0.04520016312134194
_Chromagram_Mean_8,0.04485137166194735
_MFCC_Mean_6,0.04469378869161646
_HarmonicChangeDetectionFunction_PeriodEntropy,0.03625506068465546
_Chromagram_Mean_9,0.03438542464975644
_Chromagram_Mean_4,0.032274304286524634
_Tempo_Mean,0.030145548054922124
_Lowenergy_Mean,0.029987941147891755
_HarmonicChangeDetectionFunction_Slope,0.025622208442286295
_MFCC_Mean_9,0.021330466101172733
_Chromagram_Mean_3,0.020681105727888806
_MFCC_Mean_11,0.018161574370462154
_MFCC_Mean_13,0.015832950331501942
_MFCC_Mean_5,0.01544724819534021
_Chromagram_Mean_10,0.015318094339842245
_Chromagram_Mean_5,0.0146588099505175
_Spectralflatness_Mean,0.010112541785514406
_MFCC_Mean_8,0.0027219378878524454
_MFCC_Mean_10,0.002341781727251717
_MFCC_Mean_12,0.002329795766870799
